student_id,school_id,language_pre,language_post,ses,verbal_iq,female,minority
167003,16,40,47,33,-0.8340620900743332,1,0
167005,16,32,44,27,0.6659379099256668,0,0
167006,16,44,50,27,1.1659379099256668,0,0
167008,16,44,45,23,0.6659379099256668,0,0
167010,16,41,43,30,-0.8340620900743332,1,0
167011,16,32,34,35,-0.3340620900743332,0,0
167012,16,32,35,37,-0.8340620900743332,0,0
187001,18,24,22,23,-2.334062090074333,0,0
187002,18,30,27,15,-2.334062090074333,1,0
187003,18,46,45,50,3.165937909925667,1,0
187004,18,36,45,27,-0.3340620900743332,1,0
187005,18,30,38,35,1.1659379099256668,0,0
187006,18,30,24,33,-1.3340620900743332,0,0
187007,18,41,50,25,1.1659379099256668,1,0
187008,18,26,22,20,-0.8340620900743332,0,0
187009,18,37,43,30,2.165937909925667,0,0
187010,18,38,28,28,1.6659379099256668,0,0
187012,18,35,38,33,-1.3340620900743332,0,0
187013,18,29,20,25,-2.334062090074333,0,0
187014,18,39,40,33,3.665937909925667,0,0
187015,18,41,47,50,0.16593790992566682,0,0
187016,18,29,20,15,-0.8340620900743332,0,0
187017,18,32,28,25,-0.8340620900743332,1,0
187018,18,38,33,50,1.1659379099256668,0,0
187019,18,16,21,30,-0.3340620900743332,0,0
187020,18,41,44,38,0.6659379099256668,1,0
187022,18,33,43,20,0.16593790992566682,0,0
187023,18,29,18,35,-1.8340620900743332,0,0
187024,18,41,31,50,-1.3340620900743332,1,0
187025,18,29,21,35,-0.3340620900743332,1,0
187027,18,34,41,35,-0.8340620900743332,0,0
217001,21,34,48,20,2.665937909925667,0,0
217002,21,38,43,18,1.1659379099256668,1,0
217004,21,27,32,18,-3.334062090074333,0,0
217005,21,31,17,20,-0.3340620900743332,0,0
217006,21,15,27,20,-3.334062090074333,0,0
217007,21,45,55,28,1.1659379099256668,0,0
217008,21,43,45,28,0.6659379099256668,1,0
217009,21,34,36,18,1.6659379099256668,1,0
217011,21,25,24,18,-3.834062090074333,0,0
217012,21,30,35,18,-2.834062090074333,1,0
217013,21,39,43,23,-0.3340620900743332,0,0
217014,21,38,48,23,1.1659379099256668,1,0
217015,21,41,38,23,2.665937909925667,1,0
217016,21,38,44,20,0.16593790992566682,0,0
217017,21,44,47,18,0.16593790992566682,0,0
217018,21,38,36,23,1.6659379099256668,0,0
217019,21,31,41,25,-0.3340620900743332,1,0
247001,24,43,41,23,0.16593790992566682,0,0
247002,24,23,26,20,-1.8340620900743332,1,0
247003,24,47,52,20,2.165937909925667,1,0
247004,24,34,43,10,0.6659379099256668,0,0
247005,24,43,54,20,1.1659379099256668,0,0
247006,24,33,49,30,-0.3340620900743332,1,0
247007,24,41,51,20,3.665937909925667,0,0
247008,24,37,47,23,1.6659379099256668,0,0
247009,24,43,51,17,0.16593790992566682,1,0
247010,24,37,51,23,0.16593790992566682,1,0
247011,24,31,34,20,-3.334062090074333,1,0
247012,24,40,51,23,-1.3340620900743332,1,0
247013,24,33,49,23,-1.8340620900743332,1,0
247014,24,26,42,37,-2.834062090074333,1,0
247015,24,40,50,17,1.1659379099256668,1,0
247018,24,29,33,17,-5.334062090074333,1,0
247019,24,38,46,33,1.6659379099256668,1,0
247020,24,44,57,20,4.665937909925667,0,0
247021,24,33,35,30,-1.3340620900743332,0,0
247022,24,29,44,27,1.6659379099256668,0,0
247023,24,33,36,23,0.16593790992566682,0,0
247024,24,44,50,23,0.6659379099256668,0,0
247025,24,33,38,27,1.1659379099256668,1,0
247026,24,31,49,27,0.16593790992566682,1,0
267001,26,27,26,20,-1.3340620900743332,0,0
267002,26,37,48,35,0.16593790992566682,0,0
267003,26,32,32,40,0.6659379099256668,0,0
267004,26,40,46,33,1.1659379099256668,0,0
267006,26,33,38,30,-1.8340620900743332,0,0
267007,26,26,44,33,-0.8340620900743332,0,0
267009,26,35,35,17,-0.8340620900743332,0,0
267010,26,37,40,23,4.665937909925667,0,0
267011,26,44,40,37,1.1659379099256668,0,0
267012,26,37,46,20,-0.3340620900743332,0,0
267013,26,37,31,20,-1.8340620900743332,1,0
267014,26,40,50,45,1.6659379099256668,1,0
267015,26,41,46,40,1.6659379099256668,1,0
267016,26,37,51,43,4.665937909925667,1,0
267017,26,23,29,28,-2.834062090074333,1,0
267018,26,36,39,33,0.16593790992566682,1,0
267019,26,39,49,35,1.6659379099256668,1,0
267020,26,43,43,47,2.165937909925667,1,0
277101,27,34,37,23,-1.8340620900743332,1,0
277102,27,30,35,23,-1.3340620900743332,0,0
277103,27,35,38,28,1.1659379099256668,0,0
277104,27,35,40,23,1.1659379099256668,1,0
277105,27,37,42,47,2.165937909925667,0,0
277109,27,33,41,40,2.665937909925667,0,0
277110,27,30,32,40,0.16593790992566682,0,0
277111,27,36,40,27,0.6659379099256668,0,0
277112,27,19,20,23,-1.3340620900743332,0,0
277114,27,37,29,27,-0.8340620900743332,1,0
277115,27,33,41,40,0.6659379099256668,0,0
277116,27,30,23,30,1.1659379099256668,0,0
277120,27,19,27,23,-0.3340620900743332,1,0
277122,27,27,35,27,-2.334062090074333,1,0
277202,27,29,33,35,-0.3340620900743332,0,0
277203,27,20,31,23,-2.334062090074333,1,0
277204,27,30,29,40,0.16593790992566682,0,0
277205,27,25,31,20,-1.8340620900743332,1,0
277206,27,32,40,20,0.16593790992566682,0,0
277207,27,27,19,20,-5.334062090074333,1,0
277208,27,35,40,35,-0.8340620900743332,1,0
297001,29,38,51,45,6.165937909925667,0,0
297003,29,41,51,47,4.165937909925667,0,0
297004,29,31,35,50,0.16593790992566682,0,0
297005,29,36,50,50,-0.3340620900743332,0,0
297006,29,36,51,45,0.16593790992566682,0,0
297007,29,33,52,40,3.665937909925667,0,0
297008,29,36,44,35,2.165937909925667,1,0
297009,29,34,39,35,-5.834062090074333,1,0
297010,29,40,41,35,0.6659379099256668,1,0
297011,29,47,51,45,4.665937909925667,1,0
337001,33,31,20,15,0.16593790992566682,0,0
337002,33,30,43,20,-1.8340620900743332,1,0
337003,33,31,31,37,-1.8340620900743332,0,0
337004,33,32,42,25,-0.8340620900743332,0,0
337005,33,31,50,23,1.1659379099256668,0,0
337006,33,30,41,27,0.16593790992566682,1,0
357001,35,30,38,20,-0.8340620900743332,1,0
357002,35,39,52,20,1.1659379099256668,0,0
357003,35,31,34,20,-1.3340620900743332,0,0
357004,35,25,34,18,-4.834062090074333,1,0
357005,35,38,54,30,1.1659379099256668,0,0
357006,35,39,47,45,1.1659379099256668,0,0
357007,35,20,25,18,-0.8340620900743332,0,0
357008,35,30,27,13,-3.834062090074333,0,1
357009,35,26,35,23,-3.834062090074333,1,0
357010,35,31,28,18,0.16593790992566682,0,0
357013,35,29,34,10,-3.334062090074333,1,1
357014,35,30,42,25,-2.334062090074333,0,0
357015,35,33,38,25,-1.3340620900743332,0,0
357017,35,44,51,30,3.665937909925667,0,1
367001,36,47,55,33,2.665937909925667,0,0
367002,36,32,40,20,0.16593790992566682,0,0
367003,36,41,49,30,0.16593790992566682,0,0
367004,36,24,37,35,1.1659379099256668,1,0
367005,36,31,31,25,-2.334062090074333,0,0
367006,36,32,31,30,0.16593790992566682,0,0
367008,36,32,28,30,-3.334062090074333,0,0
367010,36,26,30,20,-0.8340620900743332,0,0
367012,36,33,34,40,-2.334062090074333,1,0
367013,36,38,42,40,0.6659379099256668,0,0
367014,36,26,29,30,-0.8340620900743332,1,0
367015,36,31,27,20,0.16593790992566682,0,0
367016,36,31,32,33,1.1659379099256668,1,0
367018,36,28,22,30,-2.334062090074333,0,0
367019,36,34,34,30,2.665937909925667,0,0
367020,36,31,36,38,0.6659379099256668,0,0
367021,36,35,46,28,0.6659379099256668,1,0
367023,36,44,45,30,0.6659379099256668,1,0
367024,36,36,39,37,0.6659379099256668,1,0
367025,36,38,36,40,-0.8340620900743332,1,0
367026,36,36,33,30,-1.3340620900743332,1,0
367028,36,31,28,40,-0.8340620900743332,0,0
367029,36,34,35,20,0.16593790992566682,1,0
387001,38,29,42,50,-0.8340620900743332,0,0
387002,38,36,42,40,-1.8340620900743332,1,0
387003,38,28,34,20,-2.334062090074333,1,0
387004,38,40,47,20,-2.334062090074333,0,0
387005,38,36,43,47,-1.8340620900743332,0,0
387006,38,39,45,47,-0.8340620900743332,0,0
387007,38,44,53,20,0.16593790992566682,1,0
387008,38,40,53,40,0.16593790992566682,1,0
387009,38,32,42,30,0.16593790992566682,1,0
387010,38,36,40,30,-0.8340620900743332,0,0
387011,38,41,50,45,0.6659379099256668,1,0
387012,38,39,41,23,0.6659379099256668,0,0
387013,38,31,35,30,-2.834062090074333,0,0
387015,38,41,42,20,1.1659379099256668,0,0
387016,38,42,52,25,1.1659379099256668,1,0
387017,38,31,26,20,-2.834062090074333,0,0
387018,38,35,39,23,0.16593790992566682,0,0
387019,38,28,33,20,-3.834062090074333,0,0
387020,38,41,50,20,1.6659379099256668,1,0
387021,38,35,38,20,-1.8340620900743332,0,0
387022,38,41,45,23,1.6659379099256668,0,0
387023,38,41,43,33,2.665937909925667,0,0
387024,38,38,41,20,0.16593790992566682,1,0
387025,38,27,36,25,-1.3340620900743332,1,0
387026,38,41,38,30,0.16593790992566682,1,0
387027,38,27,31,20,-2.334062090074333,0,0
387028,38,38,53,37,3.665937909925667,1,0
387031,38,35,35,17,1.6659379099256668,0,0
407102,40,31,41,45,-0.3340620900743332,0,0
407103,40,30,27,40,-2.834062090074333,0,0
407104,40,34,30,50,-1.8340620900743332,0,0
407105,40,40,48,50,0.6659379099256668,0,0
407106,40,34,36,40,0.16593790992566682,0,0
407107,40,25,30,20,-2.334062090074333,0,0
407108,40,17,18,30,-0.3340620900743332,0,0
407110,40,30,34,20,0.6659379099256668,0,0
407111,40,40,49,50,1.1659379099256668,0,0
407112,40,41,44,20,0.6659379099256668,0,0
407113,40,35,50,30,3.665937909925667,0,0
407114,40,42,51,20,2.165937909925667,1,0
407115,40,37,50,20,1.6659379099256668,1,0
407116,40,40,50,30,2.165937909925667,1,0
407118,40,41,44,30,0.16593790992566682,1,0
407119,40,46,48,40,1.1659379099256668,1,0
407120,40,21,26,20,-2.334062090074333,1,0
407121,40,44,50,30,1.6659379099256668,1,0
407122,40,41,52,30,3.165937909925667,1,0
407123,40,38,46,50,0.6659379099256668,1,0
407124,40,38,50,40,1.6659379099256668,1,0
407125,40,33,36,30,-0.8340620900743332,1,0
407126,40,34,44,40,-0.8340620900743332,1,0
407127,40,28,35,20,-0.3340620900743332,1,0
407128,40,27,20,30,0.6659379099256668,1,0
407201,40,27,36,28,-0.8340620900743332,0,0
407202,40,36,42,23,0.6659379099256668,0,0
407203,40,38,43,30,1.1659379099256668,0,0
407204,40,27,35,45,-0.3340620900743332,0,0
407205,40,48,45,45,4.665937909925667,0,0
407206,40,44,50,28,3.665937909925667,1,0
407207,40,38,49,18,1.6659379099256668,1,0
407209,40,41,51,28,0.6659379099256668,1,0
407210,40,42,53,20,3.165937909925667,1,0
407211,40,38,48,18,-1.8340620900743332,1,0
417001,41,38,38,20,-0.3340620900743332,0,1
417002,41,37,40,20,1.1659379099256668,0,0
417003,41,44,31,20,0.6659379099256668,1,0
417004,41,31,38,30,-1.3340620900743332,1,0
417005,41,33,29,20,-0.8340620900743332,0,0
417006,41,45,52,20,3.165937909925667,1,0
417007,41,38,41,20,3.165937909925667,0,0
417009,41,38,48,20,1.1659379099256668,0,0
417010,41,38,50,20,3.665937909925667,1,0
417012,41,42,37,15,-0.3340620900743332,0,0
417014,41,34,30,10,-0.8340620900743332,0,1
417015,41,28,28,15,-1.8340620900743332,1,0
417017,41,20,30,10,-2.334062090074333,0,1
427001,42,37,45,28,-0.3340620900743332,0,0
427002,42,25,25,38,-0.3340620900743332,0,0
427003,42,39,49,43,2.665937909925667,1,0
427004,42,24,30,40,0.16593790992566682,1,0
427005,42,33,35,40,0.6659379099256668,0,0
427006,42,25,18,30,-2.334062090074333,0,0
427008,42,33,39,20,-0.8340620900743332,1,0
427009,42,28,20,20,-1.8340620900743332,0,0
427010,42,40,47,30,2.665937909925667,1,0
427011,42,28,34,38,-0.8340620900743332,1,0
427012,42,37,45,48,1.1659379099256668,0,0
427013,42,36,31,20,-0.3340620900743332,1,0
427014,42,37,38,25,-0.3340620900743332,1,0
427015,42,23,38,25,-0.3340620900743332,1,0
447001,44,27,26,15,-0.8340620900743332,0,0
447002,44,37,43,25,-0.3340620900743332,1,0
447004,44,38,34,18,-1.3340620900743332,1,1
447005,44,39,39,18,-0.3340620900743332,0,0
447006,44,31,36,10,-1.3340620900743332,0,1
447008,44,35,46,17,0.6659379099256668,0,0
447009,44,27,38,25,-0.8340620900743332,0,0
447010,44,26,25,18,-0.8340620900743332,0,0
447011,44,27,23,18,-2.334062090074333,1,0
447012,44,34,38,25,0.6659379099256668,0,0
447013,44,45,53,25,0.6659379099256668,1,0
447014,44,31,31,17,-1.8340620900743332,0,0
447015,44,40,45,20,-1.3340620900743332,0,0
447016,44,34,43,20,-0.3340620900743332,0,0
447017,44,33,26,18,0.16593790992566682,0,0
477002,47,23,29,17,-1.3340620900743332,0,0
477004,47,15,15,18,-4.834062090074333,0,0
477005,47,32,29,20,-1.8340620900743332,0,0
477006,47,27,20,10,-0.8340620900743332,0,0
477007,47,15,23,10,-7.334062090074333,1,1
477009,47,15,27,20,-5.834062090074333,1,1
477011,47,15,22,25,-1.8340620900743332,0,1
477012,47,22,23,25,-4.334062090074333,0,1
487002,48,37,44,30,0.6659379099256668,0,0
487005,48,20,25,10,-2.834062090074333,0,1
487006,48,28,30,17,-1.3340620900743332,0,1
487007,48,33,32,25,0.16593790992566682,1,0
487008,48,33,35,10,-0.8340620900743332,1,0
487010,48,28,32,20,-3.334062090074333,1,0
487011,48,27,28,10,0.16593790992566682,1,0
487012,48,33,37,30,1.6659379099256668,1,0
487013,48,38,46,10,1.1659379099256668,1,0
487014,48,42,52,27,0.6659379099256668,1,0
487020,48,36,40,10,-1.8340620900743332,1,1
497001,49,44,51,50,1.1659379099256668,1,1
497002,49,37,46,25,-1.3340620900743332,1,0
497003,49,18,18,17,-3.834062090074333,1,0
497004,49,29,32,17,-3.334062090074333,1,1
497005,49,32,41,50,1.6659379099256668,1,1
497006,49,39,46,50,1.6659379099256668,1,0
497008,49,29,25,17,-2.834062090074333,1,0
497010,49,16,21,20,-0.8340620900743332,0,0
497011,49,34,31,27,-0.3340620900743332,0,0
527001,52,29,25,13,-1.3340620900743332,0,0
527002,52,31,28,10,-1.3340620900743332,0,1
527005,52,35,39,30,1.6659379099256668,1,0
527006,52,25,25,45,-0.8340620900743332,0,0
527009,52,46,49,43,2.665937909925667,0,0
527010,52,35,34,18,-0.8340620900743332,0,0
527011,52,34,36,20,3.665937909925667,0,0
527012,52,26,19,13,-1.3340620900743332,0,0
527013,52,40,48,28,-0.8340620900743332,0,0
527014,52,30,22,15,-0.3340620900743332,0,0
527015,52,42,47,35,5.165937909925667,0,0
527017,52,36,47,15,0.6659379099256668,1,0
527018,52,35,44,20,0.16593790992566682,1,0
527019,52,30,35,20,0.16593790992566682,1,0
527020,52,45,43,33,5.165937909925667,1,0
527021,52,29,38,10,-4.834062090074333,1,0
527022,52,41,44,15,1.6659379099256668,1,0
527024,52,40,37,25,-0.3340620900743332,1,0
527025,52,29,44,35,1.1659379099256668,1,0
527026,52,25,32,15,-0.8340620900743332,1,0
527027,52,37,42,40,1.6659379099256668,1,0
547001,54,39,36,43,-0.8340620900743332,0,0
547002,54,36,42,50,0.6659379099256668,1,0
547003,54,41,50,37,-0.3340620900743332,1,0
547004,54,45,52,48,0.16593790992566682,1,0
547005,54,42,46,30,-0.8340620900743332,1,0
547006,54,46,55,50,3.665937909925667,1,0
547007,54,40,50,40,0.6659379099256668,1,0
547008,54,38,42,45,-0.3340620900743332,0,0
547009,54,47,54,50,2.665937909925667,0,0
547010,54,47,50,40,3.665937909925667,1,0
547011,54,45,53,50,3.165937909925667,0,0
547012,54,45,49,40,1.1659379099256668,1,0
547013,54,38,49,40,1.6659379099256668,0,0
547014,54,45,51,50,-0.3340620900743332,1,0
547016,54,40,54,50,3.665937909925667,0,0
547017,54,39,53,40,1.6659379099256668,1,0
547018,54,43,46,43,1.1659379099256668,0,0
547019,54,33,34,33,-1.3340620900743332,0,0
547020,54,37,47,43,1.1659379099256668,1,0
547021,54,38,42,17,0.16593790992566682,0,0
547022,54,48,51,50,6.165937909925667,1,0
547023,54,36,44,43,1.1659379099256668,0,0
547024,54,29,36,20,1.1659379099256668,1,0
547025,54,36,40,20,1.6659379099256668,0,0
547026,54,36,50,45,4.665937909925667,1,0
547027,54,34,23,45,-1.3340620900743332,0,0
547028,54,39,51,50,1.1659379099256668,1,0
547029,54,39,45,45,-0.3340620900743332,1,0
547030,54,32,44,43,-0.3340620900743332,0,0
547031,54,41,34,38,-0.3340620900743332,1,0
547032,54,44,48,35,0.16593790992566682,1,0
557001,55,23,37,40,-4.834062090074333,0,0
557002,55,32,39,28,-1.3340620900743332,0,0
557003,55,46,54,50,3.665937909925667,1,0
557004,55,42,46,30,0.6659379099256668,0,0
557005,55,43,54,45,2.665937909925667,1,0
557006,55,35,44,30,-0.8340620900743332,0,0
557007,55,36,40,30,0.6659379099256668,1,0
557008,55,34,31,30,-1.8340620900743332,1,0
557009,55,35,46,50,-0.8340620900743332,0,0
557010,55,29,23,20,-2.334062090074333,1,0
557011,55,41,52,50,4.165937909925667,1,0
557012,55,42,44,38,1.6659379099256668,0,0
557013,55,37,40,45,1.1659379099256668,0,0
557014,55,37,37,30,0.6659379099256668,0,0
557015,55,38,38,27,-0.3340620900743332,0,0
557016,55,28,34,20,-4.834062090074333,1,0
557017,55,46,51,45,5.665937909925667,0,0
557018,55,35,40,43,-2.334062090074333,0,0
557019,55,26,39,30,0.16593790992566682,1,0
557020,55,31,23,10,0.6659379099256668,0,0
557021,55,35,39,30,-1.3340620900743332,0,0
557022,55,46,44,40,3.665937909925667,1,0
557023,55,37,42,40,0.6659379099256668,1,0
557024,55,37,40,30,0.16593790992566682,0,0
557025,55,36,41,50,0.16593790992566682,1,0
557026,55,36,51,45,-0.8340620900743332,0,0
557028,55,45,43,40,0.6659379099256668,1,0
557029,55,31,33,30,1.1659379099256668,0,0
557030,55,40,42,35,-1.3340620900743332,1,0
557031,55,39,48,35,0.16593790992566682,0,0
577001,57,30,33,20,0.16593790992566682,0,1
577002,57,37,33,30,0.16593790992566682,0,0
577005,57,31,33,40,-0.3340620900743332,0,0
577006,57,40,39,40,1.1659379099256668,0,0
577007,57,34,47,40,0.16593790992566682,0,0
577008,57,41,42,30,1.1659379099256668,0,0
577011,57,42,44,50,1.6659379099256668,0,0
577012,57,39,50,40,2.165937909925667,0,0
577013,57,34,33,30,-0.3340620900743332,0,0
577014,57,41,41,40,1.1659379099256668,0,0
577015,57,33,45,40,-3.334062090074333,1,0
577017,57,34,40,45,-0.8340620900743332,1,0
577018,57,38,52,35,1.1659379099256668,1,0
577020,57,37,45,45,-1.3340620900743332,1,0
577021,57,45,55,50,3.165937909925667,1,0
577022,57,26,35,40,-0.3340620900743332,1,1
577023,57,35,54,50,-0.3340620900743332,1,0
577025,57,41,42,50,3.665937909925667,1,0
577026,57,38,41,50,0.16593790992566682,1,1
577027,57,38,45,40,-0.8340620900743332,1,0
577028,57,32,29,40,-1.8340620900743332,1,0
577029,57,22,26,35,-4.334062090074333,1,0
577030,57,40,53,30,3.665937909925667,1,0
577031,57,37,41,30,-0.8340620900743332,1,0
607102,60,31,22,50,-2.334062090074333,1,1
607103,60,22,28,10,-5.834062090074333,0,1
607105,60,38,41,33,0.6659379099256668,1,0
607106,60,38,31,33,-0.3340620900743332,0,0
607107,60,43,48,25,1.6659379099256668,0,0
607108,60,27,26,33,-3.834062090074333,0,0
607111,60,37,36,40,1.1659379099256668,0,0
607112,60,41,47,50,0.16593790992566682,1,0
607114,60,38,48,37,2.165937909925667,0,0
607115,60,42,52,40,2.165937909925667,1,0
607116,60,32,37,20,0.16593790992566682,1,0
607201,60,32,37,18,1.6659379099256668,1,0
607202,60,35,43,28,1.1659379099256668,0,0
607203,60,33,36,25,0.16593790992566682,0,0
607204,60,27,35,30,-0.3340620900743332,0,0
607205,60,34,35,25,-1.3340620900743332,0,0
607206,60,37,44,40,-0.3340620900743332,1,0
607207,60,19,22,28,-2.834062090074333,1,0
607208,60,39,50,50,-0.3340620900743332,1,0
607211,60,37,43,35,0.16593790992566682,0,0
607212,60,19,27,10,-5.834062090074333,1,1
607213,60,22,22,13,-2.334062090074333,1,0
617001,61,29,45,23,-0.3340620900743332,0,0
617002,61,16,19,10,-4.334062090074333,0,1
617004,61,41,50,25,3.165937909925667,1,0
617005,61,31,39,30,-2.834062090074333,0,0
617008,61,34,40,27,3.165937909925667,0,0
617010,61,22,29,20,-3.834062090074333,1,0
617011,61,42,49,50,-1.8340620900743332,1,0
617012,61,37,51,30,3.165937909925667,1,0
617013,61,45,56,37,4.165937909925667,1,0
617015,61,30,41,10,-0.3340620900743332,1,0
617016,61,16,27,18,1.1659379099256668,0,0
617017,61,21,31,10,-1.3340620900743332,1,1
617021,61,40,48,43,0.6659379099256668,1,0
617022,61,36,40,37,0.16593790992566682,0,0
617024,61,37,33,27,-0.8340620900743332,1,0
617025,61,30,38,30,-0.3340620900743332,0,0
617026,61,34,40,25,-1.8340620900743332,1,0
617027,61,29,39,23,-1.3340620900743332,0,0
617028,61,32,43,25,2.665937909925667,1,0
617029,61,33,46,30,1.6659379099256668,0,0
627001,62,42,51,25,4.165937909925667,0,0
627002,62,36,47,50,-1.3340620900743332,1,0
627004,62,40,49,40,5.665937909925667,1,0
627005,62,43,43,50,1.6659379099256668,0,0
627006,62,45,43,30,0.6659379099256668,1,0
627007,62,48,53,30,2.665937909925667,0,0
627008,62,37,40,45,0.16593790992566682,0,0
627009,62,46,53,50,0.6659379099256668,1,0
627010,62,46,48,30,1.6659379099256668,0,0
627012,62,39,36,30,2.165937909925667,0,0
627013,62,41,50,30,0.16593790992566682,0,0
627014,62,39,54,30,5.665937909925667,1,0
627015,62,36,42,40,0.16593790992566682,1,0
627016,62,43,51,20,1.1659379099256668,0,0
627017,62,30,43,20,-0.3340620900743332,0,0
627020,62,40,51,40,4.165937909925667,0,0
627021,62,47,53,50,5.665937909925667,0,0
627022,62,43,49,50,2.665937909925667,1,0
627023,62,41,41,30,-0.3340620900743332,1,0
627025,62,41,44,30,-0.3340620900743332,1,0
627027,62,40,41,50,1.1659379099256668,0,0
657001,65,44,57,18,3.165937909925667,0,0
657002,65,27,51,30,-0.8340620900743332,0,0
657003,65,31,43,25,-1.8340620900743332,0,0
657004,65,35,43,13,4.165937909925667,0,0
657005,65,23,43,43,0.6659379099256668,0,0
657006,65,35,43,15,0.16593790992566682,0,0
657007,65,35,54,43,-0.3340620900743332,0,0
657008,65,35,33,13,-2.334062090074333,1,0
657009,65,39,55,37,2.665937909925667,0,0
657010,65,30,47,40,1.6659379099256668,0,0
657011,65,24,36,33,-0.3340620900743332,1,0
657012,65,42,55,50,0.6659379099256668,1,0
657013,65,29,41,10,0.16593790992566682,0,0
657014,65,40,54,28,0.16593790992566682,1,0
657015,65,41,50,37,2.665937909925667,1,0
657016,65,43,54,37,-0.3340620900743332,1,0
657017,65,34,47,35,0.16593790992566682,0,0
657018,65,30,41,13,0.16593790992566682,0,0
657019,65,37,50,30,1.6659379099256668,0,0
657020,65,32,43,30,1.6659379099256668,1,0
657021,65,26,50,30,-0.3340620900743332,1,0
657022,65,44,52,45,2.665937909925667,1,0
667001,66,37,32,17,-2.834062090074333,0,0
667002,66,33,52,40,2.165937909925667,0,0
667003,66,36,21,17,-1.3340620900743332,0,0
667004,66,26,36,30,-0.8340620900743332,1,0
667005,66,35,49,37,-0.8340620900743332,1,0
667006,66,28,37,33,-0.8340620900743332,1,0
667007,66,28,28,33,-1.3340620900743332,1,0
667008,66,42,50,37,4.665937909925667,1,0
667009,66,36,47,30,2.165937909925667,0,0
667010,66,38,35,30,-0.3340620900743332,0,0
667011,66,40,52,33,3.665937909925667,0,0
677001,67,44,52,37,3.665937909925667,1,0
677002,67,36,39,20,-0.8340620900743332,0,0
677003,67,32,25,20,0.16593790992566682,0,0
677004,67,33,25,27,-1.3340620900743332,0,0
677005,67,34,38,30,1.1659379099256668,1,0
677006,67,32,31,23,-0.3340620900743332,0,0
677007,67,20,26,17,-2.834062090074333,0,0
677008,67,33,35,23,0.6659379099256668,1,0
677009,67,38,29,37,0.6659379099256668,0,0
677010,67,32,32,30,-2.334062090074333,0,0
677011,67,30,34,27,1.1659379099256668,0,0
677012,67,41,51,40,1.6659379099256668,1,0
677013,67,39,47,30,3.165937909925667,1,0
677014,67,40,39,33,3.665937909925667,0,0
677015,67,35,39,27,1.1659379099256668,1,0
677016,67,30,27,43,-0.3340620900743332,0,0
