stops,population,past_arrests,precinct,ethnicity,crime
27,79761,28,12,White,Weapons
61,5209,229,12,Black,Property
110,9158,153,12,Hispanic,Property
32,79761,152,12,White,Property
49,5209,161,12,Black,Drug
38,9158,49,12,Hispanic,Drug
133,79761,42,12,White,Drug
297,21822,441,13,Black,Violent
233,37631,446,13,Hispanic,Violent
17,6239,41,13,White,Violent
624,21822,151,13,Black,Weapons
654,37631,147,13,Hispanic,Weapons
31,6239,6,13,White,Weapons
54,21822,151,13,Black,Property
69,37631,195,13,Hispanic,Property
14,6239,19,13,White,Property
81,21822,668,13,Black,Drug
123,37631,696,13,Hispanic,Drug
18,6239,172,13,White,Drug
243,17774,269,14,Black,Violent
186,29423,282,14,Hispanic,Violent
55,62204,64,14,White,Violent
103,17774,97,14,Black,Weapons
270,29423,105,14,Hispanic,Weapons
21,62204,31,14,White,Weapons
72,17774,273,14,Black,Property
65,29423,131,14,Hispanic,Property
12,62204,64,14,White,Property
60,17774,653,14,Black,Drug
67,29423,501,14,Hispanic,Drug
11,62204,117,14,White,Drug
263,23191,461,15,Black,Violent
166,17640,256,15,Hispanic,Violent
8,1683,24,15,White,Violent
684,23191,246,15,Black,Weapons
463,17640,97,15,Hispanic,Weapons
74,1683,9,15,White,Weapons
190,23191,248,15,Black,Property
67,17640,69,15,Hispanic,Property
21,1683,10,15,White,Property
228,23191,1045,15,Black,Drug
163,17640,676,15,Hispanic,Drug
46,1683,218,15,White,Drug
333,14072,333,16,Black,Violent
61,9142,106,16,Hispanic,Violent
13,19494,34,16,White,Violent
178,14072,172,16,Black,Weapons
133,9142,35,16,Hispanic,Weapons
13,19494,13,16,White,Weapons
54,14072,178,16,Black,Property
10,9142,32,16,Hispanic,Property
6,19494,13,16,White,Property
94,14072,598,16,Black,Drug
65,9142,198,16,Hispanic,Drug
5,19494,46,16,White,Drug
223,29510,905,17,Black,Violent
11,4560,115,17,Hispanic,Violent
1,872,11,17,White,Violent
446,29510,440,17,Black,Weapons
48,4560,30,17,Hispanic,Weapons
36,872,4,17,White,Weapons
52,29510,542,17,Black,Property
7,4560,53,17,Hispanic,Property
2,872,28,17,White,Property
104,29510,1640,17,Black,Drug
9,4560,145,17,Hispanic,Drug
7,872,67,17,White,Drug
239,28599,612,18,Black,Violent
110,28898,377,18,Hispanic,Violent
5,1630,24,18,White,Violent
710,28599,301,18,Black,Weapons
823,28898,233,18,Hispanic,Weapons
61,1630,25,18,White,Weapons
92,28599,1535,18,Black,Property
79,28898,459,18,Hispanic,Property
18,1630,112,18,White,Property
85,28599,2655,18,Black,Drug
106,28898,1704,18,Hispanic,Drug
31,1630,305,18,White,Drug
271,57509,1018,19,Black,Violent
22,5067,47,19,Hispanic,Violent
5,454,11,19,White,Violent
705,57509,501,19,Black,Weapons
86,5067,49,19,Hispanic,Weapons
19,454,13,19,White,Weapons
48,57509,366,19,Black,Property
8,5067,39,19,Hispanic,Property
0,454,12,19,White,Property
139,57509,1612,19,Black,Drug
8,5067,107,19,Hispanic,Drug
0,454,27,19,White,Drug
131,15833,183,20,Black,Violent
152,58197,592,20,Hispanic,Violent
14,7793,57,20,White,Violent
237,15833,98,20,Black,Weapons
553,58197,277,20,Hispanic,Weapons
72,7793,47,20,White,Weapons
31,15833,511,20,Black,Property
87,58197,501,20,Hispanic,Property
8,7793,417,20,White,Property
71,15833,1210,20,Black,Drug
171,58197,1910,20,Hispanic,Drug
39,7793,1242,20,White,Drug
98,6963,123,21,Black,Violent
370,74064,652,21,Hispanic,Violent
33,29470,58,21,White,Violent
73,6963,59,21,Black,Weapons
475,74064,264,21,Hispanic,Weapons
41,29470,22,21,White,Weapons
28,6963,126,21,Black,Property
164,74064,402,21,Hispanic,Property
6,29470,72,21,White,Property
44,6963,557,21,Black,Drug
258,74064,1448,21,Hispanic,Drug
23,29470,740,21,White,Drug
533,24373,450,22,Black,Violent
473,50209,552,22,Hispanic,Violent
3,1544,65,22,White,Violent
992,24373,174,22,Black,Weapons
1170,50209,226,22,Hispanic,Weapons
29,1544,12,22,White,Weapons
118,24373,189,22,Black,Property
172,50209,251,22,Hispanic,Property
15,1544,35,22,White,Property
194,24373,1057,22,Black,Drug
314,50209,1664,22,Hispanic,Drug
17,1544,154,22,White,Drug
180,8726,385,23,Black,Violent
206,31394,454,23,Hispanic,Violent
19,704,35,23,White,Violent
488,8726,211,23,Black,Weapons
727,31394,323,23,Hispanic,Weapons
61,704,15,23,White,Weapons
86,8726,310,23,Black,Property
192,31394,489,23,Hispanic,Property
17,704,236,23,White,Property
86,8726,692,23,Black,Drug
230,31394,1653,23,Hispanic,Drug
42,704,534,23,White,Drug
370,31753,483,24,Black,Violent
129,23908,289,24,Hispanic,Violent
5,469,34,24,White,Violent
1031,31753,280,24,Black,Weapons
587,23908,140,24,Hispanic,Weapons
7,469,12,24,White,Weapons
129,31753,179,24,Black,Property
91,23908,146,24,Hispanic,Property
6,469,18,24,White,Property
201,31753,686,24,Black,Drug
66,23908,504,24,Hispanic,Drug
0,469,34,24,White,Drug
697,53765,756,25,Black,Violent
358,86904,635,25,Hispanic,Violent
3,19290,81,25,White,Violent
905,53765,243,25,Black,Weapons
883,86904,285,25,Hispanic,Weapons
29,19290,36,25,White,Weapons
84,53765,470,25,Black,Property
159,86904,606,25,Hispanic,Property
20,19290,82,25,White,Property
256,53765,1250,25,Black,Drug
266,86904,1327,25,Hispanic,Drug
25,19290,209,25,White,Drug
185,49265,1082,26,Black,Violent
92,63458,883,26,Hispanic,Violent
3,3025,43,26,White,Violent
558,49265,507,26,Black,Weapons
358,63458,562,26,Hispanic,Weapons
10,3025,22,26,White,Weapons
98,49265,450,26,Black,Property
139,63458,400,26,Hispanic,Property
6,3025,48,26,White,Property
45,49265,1708,26,Black,Drug
47,63458,1329,26,Hispanic,Drug
0,3025,97,26,White,Drug
237,17685,179,27,Black,Violent
172,13264,172,27,Hispanic,Violent
128,65982,243,27,White,Violent
250,17685,75,27,Black,Weapons
195,13264,72,27,Hispanic,Weapons
106,65982,58,27,White,Weapons
171,17685,154,27,Black,Property
208,13264,130,27,Hispanic,Property
337,65982,95,27,White,Property
53,17685,73,27,Black,Drug
66,13264,48,27,Hispanic,Drug
82,65982,43,27,White,Drug
110,46669,931,28,Black,Violent
119,68975,898,28,Hispanic,Violent
0,2775,52,28,White,Violent
222,46669,335,28,Black,Weapons
235,68975,432,28,Hispanic,Weapons
7,2775,25,28,White,Weapons
19,46669,588,28,Black,Property
31,68975,502,28,Hispanic,Property
0,2775,57,28,White,Property
63,46669,1612,28,Black,Drug
94,68975,2135,28,Hispanic,Drug
2,2775,204,28,White,Drug
615,76262,901,29,Black,Violent
117,22277,169,29,Hispanic,Violent
9,23906,85,29,White,Violent
1283,76262,458,29,Black,Weapons
191,22277,39,29,Hispanic,Weapons
38,23906,58,29,White,Weapons
317,76262,283,29,Black,Property
53,22277,89,29,Hispanic,Property
51,23906,45,29,White,Property
177,76262,1325,29,Black,Drug
29,22277,204,29,Hispanic,Drug
8,23906,193,29,White,Drug
279,17125,598,30,Black,Violent
222,38207,738,30,Hispanic,Violent
20,9927,55,30,White,Violent
468,17125,158,30,Black,Weapons
669,38207,267,30,Hispanic,Weapons
36,9927,17,30,White,Weapons
103,17125,399,30,Black,Property
105,38207,536,30,Hispanic,Property
10,9927,98,30,White,Property
96,17125,844,30,Black,Drug
130,38207,1226,30,Hispanic,Drug
19,9927,246,30,White,Drug
150,14356,220,31,Black,Violent
195,23814,247,31,Hispanic,Violent
79,60595,161,31,White,Violent
260,14356,114,31,Black,Weapons
250,23814,113,31,Hispanic,Weapons
118,60595,90,31,White,Weapons
113,14356,79,31,Black,Property
142,23814,94,31,Hispanic,Property
132,60595,72,31,White,Property
108,14356,84,31,Black,Drug
194,23814,158,31,Hispanic,Drug
64,60595,75,31,White,Drug
130,11593,144,32,Black,Violent
166,23255,179,32,Hispanic,Violent
19,57097,96,32,White,Violent
75,11593,48,32,Black,Weapons
132,23255,45,32,Hispanic,Weapons
20,57097,6,32,White,Weapons
100,11593,115,32,Black,Property
155,23255,130,32,Hispanic,Property
54,57097,66,32,White,Property
40,11593,82,32,Black,Drug
118,23255,136,32,Hispanic,Drug
32,57097,59,32,White,Drug
306,23281,398,33,Black,Violent
407,62266,633,33,Hispanic,Violent
42,30979,99,33,White,Violent
485,23281,217,33,Black,Weapons
805,62266,287,33,Hispanic,Weapons
73,30979,40,33,White,Weapons
208,23281,319,33,Black,Property
320,62266,337,33,Hispanic,Property
81,30979,99,33,White,Property
66,23281,646,33,Black,Drug
160,62266,834,33,Hispanic,Drug
13,30979,209,33,White,Drug
526,21349,361,34,Black,Violent
184,15774,244,34,Hispanic,Violent
98,62100,285,34,White,Violent
678,21349,177,34,Black,Weapons
356,15774,106,34,Hispanic,Weapons
110,62100,92,34,White,Weapons
179,21349,123,34,Black,Property
137,15774,106,34,Hispanic,Property
243,62100,142,34,White,Property
136,21349,483,34,Black,Drug
68,15774,308,34,Hispanic,Drug
95,62100,282,34,White,Drug
75,3070,108,35,Black,Violent
17,8068,49,35,Hispanic,Violent
58,117834,329,35,White,Violent
69,3070,39,35,Black,Weapons
41,8068,29,35,Hispanic,Weapons
149,117834,95,35,White,Weapons
51,3070,76,35,Black,Property
42,8068,40,35,Hispanic,Property
144,117834,236,35,White,Property
12,3070,112,35,Black,Drug
19,8068,51,35,Hispanic,Drug
47,117834,385,35,White,Drug
55,854,58,36,Black,Violent
85,11314,86,36,Hispanic,Violent
211,120622,393,36,White,Violent
19,854,8,36,Black,Weapons
77,11314,26,36,Hispanic,Weapons
167,120622,112,36,White,Weapons
34,854,44,36,Black,Property
102,11314,98,36,Hispanic,Property
300,120622,209,36,White,Property
10,854,7,36,Black,Drug
34,11314,49,36,Hispanic,Drug
95,120622,136,36,White,Drug
252,20160,211,37,Black,Violent
18,5327,36,37,Hispanic,Violent
35,68107,131,37,White,Violent
316,20160,88,37,Black,Weapons
21,5327,8,37,Hispanic,Weapons
66,68107,45,37,White,Weapons
157,20160,317,37,Black,Property
19,5327,34,37,Hispanic,Property
84,68107,81,37,White,Property
8,20160,45,37,Black,Drug
0,5327,12,37,Hispanic,Drug
21,68107,70,37,White,Drug
133,4924,94,38,Black,Violent
295,18004,214,38,Hispanic,Violent
107,116325,165,38,White,Violent
33,4924,24,38,Black,Weapons
79,18004,103,38,Hispanic,Weapons
72,116325,59,38,White,Weapons
145,4924,95,38,Black,Property
395,18004,121,38,Hispanic,Property
448,116325,130,38,White,Property
10,4924,48,38,Black,Drug
55,18004,209,38,Hispanic,Drug
36,116325,126,38,White,Drug
529,144170,2042,39,Black,Violent
8,10319,55,39,Hispanic,Violent
1,5952,31,39,White,Violent
1315,144170,839,39,Black,Weapons
26,10319,17,39,Hispanic,Weapons
13,5952,12,39,White,Weapons
279,144170,618,39,Black,Property
15,10319,18,39,Hispanic,Property
11,5952,17,39,White,Property
248,144170,2149,39,Black,Drug
4,10319,96,39,Hispanic,Drug
15,5952,79,39,White,Drug
15,1248,30,40,Black,Violent
139,7890,79,40,Hispanic,Violent
147,91457,316,40,White,Violent
6,1248,4,40,Black,Weapons
60,7890,36,40,Hispanic,Weapons
62,91457,91,40,White,Weapons
38,1248,41,40,Black,Property
140,7890,71,40,Hispanic,Property
199,91457,100,40,White,Property
1,1248,5,40,Black,Drug
15,7890,64,40,Hispanic,Drug
37,91457,108,40,White,Drug
397,11447,435,41,Black,Violent
46,5192,39,41,Hispanic,Violent
12,41555,71,41,White,Violent
682,11447,173,41,Black,Weapons
58,5192,18,41,Hispanic,Weapons
23,41555,26,41,White,Weapons
413,11447,154,41,Black,Property
68,5192,6,41,Hispanic,Property
191,41555,25,41,White,Property
62,11447,211,41,Black,Drug
6,5192,15,41,Hispanic,Drug
21,41555,41,41,White,Drug
551,71994,848,42,Black,Violent
97,21635,147,42,Hispanic,Violent
39,58886,159,42,White,Violent
979,71994,404,42,Black,Weapons
136,21635,94,42,Hispanic,Weapons
44,58886,48,42,White,Weapons
367,71994,445,42,Black,Property
70,21635,73,42,Hispanic,Property
66,58886,78,42,White,Property
282,71994,1036,42,Black,Drug
31,21635,245,42,Hispanic,Drug
17,58886,170,42,White,Drug
357,83609,1338,43,Black,Violent
25,9859,125,43,Hispanic,Violent
1,10258,63,43,White,Violent
861,83609,518,43,Black,Weapons
25,9859,33,43,Hispanic,Weapons
10,10258,15,43,White,Weapons
217,83609,312,43,Black,Property
5,9859,14,43,Hispanic,Property
0,10258,3,43,White,Property
129,83609,1291,43,Black,Drug
15,9859,90,43,Hispanic,Drug
0,10258,34,43,White,Drug
43,5276,62,44,Black,Violent
334,55628,677,44,Hispanic,Violent
27,44260,168,44,White,Violent
54,5276,34,44,Black,Weapons
655,55628,311,44,Hispanic,Weapons
60,44260,82,44,White,Weapons
41,5276,52,44,Black,Property
187,55628,171,44,Hispanic,Property
44,44260,81,44,White,Property
21,5276,81,44,Black,Drug
177,55628,944,44,Hispanic,Drug
26,44260,257,44,White,Drug
589,69295,1226,45,Black,Violent
41,14322,127,45,Hispanic,Violent
0,598,11,45,White,Violent
1746,69295,573,45,Black,Weapons
140,14322,45,45,Hispanic,Weapons
6,598,12,45,White,Weapons
190,69295,480,45,Black,Property
27,14322,59,45,Hispanic,Property
7,598,10,45,White,Property
180,69295,2261,45,Black,Drug
25,14322,245,45,Hispanic,Drug
2,598,41,45,White,Drug
505,79195,1460,46,Black,Violent
143,61163,594,46,Hispanic,Violent
14,19726,96,46,White,Violent
1520,79195,801,46,Black,Weapons
607,61163,358,46,Hispanic,Weapons
50,19726,56,46,White,Weapons
184,79195,524,46,Black,Property
125,61163,243,46,Hispanic,Property
19,19726,51,46,White,Property
144,79195,1651,46,Black,Drug
108,61163,1054,46,Hispanic,Drug
24,19726,385,46,White,Drug
157,10158,221,47,Black,Violent
60,13464,132,47,Hispanic,Violent
27,23282,60,47,White,Violent
206,10158,88,47,Black,Weapons
120,13464,46,47,Hispanic,Weapons
15,23282,17,47,White,Weapons
124,10158,69,47,Black,Property
134,13464,55,47,Hispanic,Property
46,23282,40,47,White,Property
35,10158,311,47,Black,Drug
52,13464,241,47,Hispanic,Drug
25,23282,63,47,White,Drug
213,77108,941,48,Black,Violent
7,9121,27,48,Hispanic,Violent
0,6280,4,48,White,Violent
855,77108,555,48,Black,Weapons
33,9121,22,48,Hispanic,Weapons
8,6280,8,48,White,Weapons
178,77108,312,48,Black,Property
12,9121,14,48,Hispanic,Property
3,6280,0,48,White,Property
249,77108,2135,48,Black,Drug
16,9121,103,48,Hispanic,Drug
0,6280,32,48,White,Drug
216,6399,186,49,Black,Violent
142,12358,206,49,Hispanic,Violent
26,33960,101,49,White,Violent
124,6399,77,49,Black,Weapons
96,12358,106,49,Hispanic,Weapons
14,33960,24,49,White,Weapons
123,6399,105,49,Black,Property
95,12358,82,49,Hispanic,Property
62,33960,28,49,White,Property
67,6399,163,49,Black,Drug
67,12358,285,49,Hispanic,Drug
9,33960,86,49,White,Drug
558,54204,1184,50,Black,Violent
52,12141,159,50,Hispanic,Violent
9,611,29,50,White,Violent
1755,54204,754,50,Black,Weapons
140,12141,107,50,Hispanic,Weapons
14,611,23,50,White,Weapons
170,54204,369,50,Black,Property
30,12141,41,50,Hispanic,Property
10,611,6,50,White,Property
288,54204,2104,50,Black,Drug
24,12141,265,50,Hispanic,Drug
4,611,13,50,White,Drug
218,61306,1065,51,Black,Violent
15,8153,95,51,Hispanic,Violent
1,321,42,51,White,Violent
739,61306,523,51,Black,Weapons
44,8153,62,51,Hispanic,Weapons
4,321,16,51,White,Weapons
57,61306,294,51,Black,Property
2,8153,18,51,Hispanic,Property
2,321,1,51,White,Property
113,61306,1091,51,Black,Drug
13,8153,168,51,Hispanic,Drug
0,321,38,51,White,Drug
106,25812,487,52,Black,Violent
138,66472,680,52,Hispanic,Violent
15,5863,36,52,White,Violent
630,25812,232,52,Black,Weapons
689,66472,304,52,Hispanic,Weapons
43,5863,38,52,White,Weapons
62,25812,125,52,Black,Property
179,66472,260,52,Hispanic,Property
7,5863,38,52,White,Property
120,25812,1000,52,Black,Drug
112,66472,1631,52,Hispanic,Drug
15,5863,479,52,White,Drug
352,8721,660,53,Black,Violent
42,5480,162,53,Hispanic,Violent
15,21672,135,53,White,Violent
243,8721,239,53,Black,Weapons
49,5480,62,53,Hispanic,Weapons
17,21672,24,53,White,Weapons
205,8721,884,53,Black,Property
104,5480,167,53,Hispanic,Property
25,21672,106,53,White,Property
118,8721,202,53,Black,Drug
42,5480,77,53,Hispanic,Drug
4,21672,28,53,White,Drug
263,35213,471,54,Black,Violent
39,9008,78,54,Hispanic,Violent
5,7713,15,54,White,Violent
429,35213,294,54,Black,Weapons
63,9008,46,54,Hispanic,Weapons
9,7713,10,54,White,Weapons
49,35213,479,54,Black,Property
0,9008,89,54,Hispanic,Property
1,7713,13,54,White,Property
114,35213,825,54,Black,Drug
23,9008,99,54,Hispanic,Drug
0,7713,10,54,White,Drug
131,10809,218,55,Black,Violent
172,56145,632,55,Hispanic,Violent
11,36679,94,55,White,Violent
179,10809,69,55,Black,Weapons
339,56145,197,55,Hispanic,Weapons
28,36679,37,55,White,Weapons
26,10809,149,55,Black,Property
124,56145,200,55,Hispanic,Property
7,36679,38,55,White,Property
13,10809,259,55,Black,Drug
103,56145,784,55,Hispanic,Drug
7,36679,174,55,White,Drug
35,543,76,56,Black,Violent
45,10768,192,56,Hispanic,Violent
31,34194,195,56,White,Violent
43,543,42,56,Black,Weapons
148,10768,96,56,Hispanic,Weapons
90,34194,64,56,White,Weapons
20,543,29,56,Black,Property
72,10768,77,56,Hispanic,Property
51,34194,78,56,White,Property
16,543,32,56,Black,Drug
10,10768,110,56,Hispanic,Drug
11,34194,78,56,White,Drug
228,8536,155,57,Black,Violent
40,6148,42,57,Hispanic,Violent
44,29931,117,57,White,Violent
230,8536,70,57,Black,Weapons
32,6148,18,57,Hispanic,Weapons
37,29931,39,57,White,Weapons
86,8536,97,57,Black,Property
30,6148,32,57,Hispanic,Property
17,29931,44,57,White,Property
77,8536,131,57,Black,Drug
16,6148,35,57,Hispanic,Drug
19,29931,32,57,White,Drug
569,31861,632,58,Black,Violent
50,11642,127,58,Hispanic,Violent
21,15239,25,58,White,Violent
1252,31861,254,58,Black,Weapons
150,11642,42,58,Hispanic,Weapons
51,15239,10,58,White,Weapons
299,31861,251,58,Black,Property
87,11642,30,58,Hispanic,Property
54,15239,31,58,White,Property
100,31861,624,58,Black,Drug
24,11642,121,58,Hispanic,Drug
14,15239,90,58,White,Drug
123,7333,262,59,Black,Violent
89,26551,224,59,Hispanic,Violent
57,68244,139,59,White,Violent
134,7333,87,59,Black,Weapons
187,26551,101,59,Hispanic,Weapons
61,68244,45,59,White,Weapons
114,7333,118,59,Black,Property
226,26551,83,59,Hispanic,Property
67,68244,108,59,White,Property
34,7333,153,59,Black,Drug
45,26551,189,59,Hispanic,Drug
10,68244,191,59,White,Drug
483,55388,1093,60,Black,Violent
66,21051,237,60,Hispanic,Violent
4,6191,71,60,White,Violent
1489,55388,474,60,Black,Weapons
263,21051,101,60,Hispanic,Weapons
24,6191,45,60,White,Weapons
350,55388,560,60,Black,Property
42,21051,95,60,Hispanic,Property
20,6191,36,60,White,Property
178,55388,2082,60,Black,Drug
17,21051,249,60,Hispanic,Drug
5,6191,113,60,White,Drug
106,612,44,61,Black,Violent
135,20799,304,61,Hispanic,Violent
105,119687,273,61,White,Violent
81,612,55,61,Black,Weapons
163,20799,122,61,Hispanic,Weapons
163,119687,81,61,White,Weapons
94,612,73,61,Black,Property
426,20799,228,61,Hispanic,Property
253,119687,183,61,White,Property
6,612,148,61,Black,Drug
43,20799,296,61,Hispanic,Drug
50,119687,252,61,White,Drug
266,86130,698,62,Black,Violent
13,17367,53,62,Hispanic,Violent
14,61965,82,62,White,Violent
732,86130,243,62,Black,Weapons
42,17367,12,62,Hispanic,Weapons
31,61965,22,62,White,Weapons
317,86130,235,62,Black,Property
49,17367,45,62,Hispanic,Property
67,61965,65,62,White,Property
85,86130,492,62,Black,Drug
13,17367,24,62,Hispanic,Drug
6,61965,43,62,White,Drug
194,21702,241,63,Black,Violent
62,18645,136,63,Hispanic,Violent
57,59280,154,63,White,Violent
300,21702,103,63,Black,Weapons
158,18645,51,63,Hispanic,Weapons
74,59280,58,63,White,Weapons
127,21702,112,63,Black,Property
85,18645,85,63,Hispanic,Property
88,59280,65,63,White,Property
54,21702,277,63,Black,Drug
26,18645,97,63,Hispanic,Drug
23,59280,77,63,White,Drug
238,15942,229,64,Black,Violent
33,18720,86,64,Hispanic,Violent
65,78574,118,64,White,Violent
203,15942,70,64,Black,Weapons
63,18720,21,64,Hispanic,Weapons
51,78574,30,64,White,Weapons
205,15942,153,64,Black,Property
129,18720,53,64,Hispanic,Property
122,78574,66,64,White,Property
171,15942,150,64,Black,Drug
49,18720,51,64,Hispanic,Drug
22,78574,18,64,White,Drug
97,2292,97,65,Black,Violent
239,29482,309,65,Hispanic,Violent
74,43965,170,65,White,Violent
108,2292,31,65,Black,Weapons
260,29482,105,65,Hispanic,Weapons
73,43965,51,65,White,Weapons
177,2292,108,65,Black,Property
777,29482,167,65,Hispanic,Property
375,43965,110,65,White,Property
4,2292,56,65,Black,Drug
83,29482,220,65,Hispanic,Drug
23,43965,64,65,White,Drug
166,9513,192,66,Black,Violent
224,32300,195,66,Hispanic,Violent
105,129433,206,66,White,Violent
211,9513,54,66,Black,Weapons
277,32300,61,66,Hispanic,Weapons
136,129433,72,66,White,Weapons
238,9513,147,66,Black,Property
560,32300,215,66,Hispanic,Property
555,129433,157,66,White,Property
164,9513,98,66,Black,Drug
205,32300,83,66,Hispanic,Drug
100,129433,137,66,White,Drug
83,13400,144,67,Black,Violent
437,46998,658,67,Hispanic,Violent
33,23835,95,67,White,Violent
92,13400,52,67,Black,Weapons
630,46998,214,67,Hispanic,Weapons
38,23835,27,67,White,Weapons
94,13400,251,67,Black,Property
670,46998,484,67,Hispanic,Property
134,23835,123,67,White,Property
31,13400,126,67,Black,Drug
161,46998,701,67,Hispanic,Drug
27,23835,130,67,White,Drug
64,2129,62,68,Black,Violent
24,7174,42,68,Hispanic,Violent
48,84353,163,68,White,Violent
32,2129,13,68,Black,Weapons
19,7174,8,68,Hispanic,Weapons
71,84353,35,68,White,Weapons
220,2129,41,68,Black,Property
151,7174,29,68,Hispanic,Property
423,84353,91,68,White,Property
7,2129,23,68,Black,Drug
10,7174,19,68,Hispanic,Drug
40,84353,90,68,White,Drug
169,1839,179,69,Black,Violent
91,10021,154,69,Hispanic,Violent
156,79379,226,69,White,Violent
47,1839,41,69,Black,Weapons
41,10021,37,69,Hispanic,Weapons
44,79379,35,69,White,Weapons
98,1839,77,69,Black,Property
211,10021,64,69,Hispanic,Property
299,79379,131,69,White,Property
40,1839,31,69,Black,Drug
30,10021,21,69,Hispanic,Drug
41,79379,54,69,White,Drug
283,100628,875,70,Black,Violent
4,4251,39,70,Hispanic,Violent
0,2612,31,70,White,Violent
1728,100628,394,70,Black,Weapons
21,4251,22,70,Hispanic,Weapons
10,2612,8,70,White,Weapons
277,100628,465,70,Black,Property
